username,mal_id,score
333Nyu333,620,6
333Nyu333,585,7
333Nyu333,875,4
333Nyu333,2571,6
333Nyu333,164,8
333Nyu333,597,5
333Nyu333,2151,3
333Nyu333,1029,6
333Nyu333,853,8
333Nyu333,746,6
333Nyu333,1943,8
333Nyu333,437,7
333Nyu333,528,5
333Nyu333,1118,5
333Nyu333,1119,4
333Nyu333,907,5
333Nyu333,165,8
333Nyu333,210,7
333Nyu333,1010,6
333Nyu333,418,6
333Nyu333,64,5
333Nyu333,401,5
333Nyu333,166,7
333Nyu333,205,8
333Nyu333,24,8
333Nyu333,517,8
333Nyu333,199,8
333Nyu333,1033,6
333Nyu333,741,8
333Nyu333,339,6
333Nyu333,1182,7
333Nyu333,198,8
333Nyu333,1006,4
333Nyu333,1101,4
333Nyu333,539,4
333Nyu333,540,4
333Nyu333,182,8
333Nyu333,513,7
333Nyu333,51,7
333Nyu333,1303,6
333Nyu333,2236,7
333Nyu333,759,8
333Nyu333,523,8
333Nyu333,6,6
333Nyu333,27,7
333Nyu333,177,7
333Nyu333,969,7
333Nyu333,807,6
333Nyu333,2746,7
333Nyu333,935,5
333Nyu333,202,9
333Nyu333,1023,9
333Nyu333,156,10
333Nyu333,595,5
333Nyu333,155,6
333Nyu333,861,7
333Nyu333,793,7
333Nyu333,481,7
3pretentious5u,25397,1
3pretentious5u,22199,1
3pretentious5u,25013,1
3pretentious5u,29513,1
3pretentious5u,47,6
3pretentious5u,6547,1
3pretentious5u,1488,6
3pretentious5u,477,6
3pretentious5u,962,6
3pretentious5u,3297,6
3pretentious5u,4772,1
3pretentious5u,2563,6
3pretentious5u,2251,6
3pretentious5u,3901,1
3pretentious5u,10218,1
3pretentious5u,12113,1
3pretentious5u,889,6
3pretentious5u,1519,6
3pretentious5u,31043,1
3pretentious5u,1689,1
3pretentious5u,14741,1
3pretentious5u,18671,1
3pretentious5u,2167,1
3pretentious5u,4181,1
3pretentious5u,1575,1
3pretentious5u,2904,1
3pretentious5u,8142,1
3pretentious5u,1,6
3pretentious5u,5,6
3pretentious5u,6880,1
3pretentious5u,1535,6
3pretentious5u,226,1
3pretentious5u,2759,1
3pretentious5u,3784,1
3pretentious5u,22297,1
3pretentious5u,28701,1
3pretentious5u,27821,1
3pretentious5u,10087,1
3pretentious5u,11741,1
3pretentious5u,227,1
3pretentious5u,71,6
3pretentious5u,5114,6
3pretentious5u,13629,1
3pretentious5u,43,6
3pretentious5u,468,1
3pretentious5u,467,6
3pretentious5u,801,6
3pretentious5u,820,6
3pretentious5u,3015,1
3pretentious5u,3014,1
3pretentious5u,3002,6
3pretentious5u,387,6
3pretentious5u,413,1
3pretentious5u,11617,1
3pretentious5u,24703,1
3pretentious5u,15451,1
3pretentious5u,578,6
3pretentious5u,16774,1
3pretentious5u,14719,6
3pretentious5u,16664,6
3pretentious5u,3701,6
3pretentious5u,1004,1
3pretentious5u,2593,1
3pretentious5u,572,6
3pretentious5u,33,6
3pretentious5u,486,6
